name,url,author,publisher,date,price,rate,comment
我的天才女友,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-1 , 42.00元,8.5,两个女人，50年的友谊和战争
匆匆那年（上下）,https://book.douban.com/subject/2567919/,九夜茴 , 东方出版社 , 2008-1 , 29.00,8.3,不悔梦归处 只恨太匆匆
影响力,https://book.douban.com/subject/1786387/,[美] 罗伯特·西奥迪尼 , 中国人民大学出版社 , 2006-5 , 45.00元,8.6,营销防骗指南
橙,https://book.douban.com/subject/5327697/,安东尼 , 长江文艺出版社 , 2010-10 , 28.80元,8.2,定做一个刻着“不过如此”的章，盖在封面上
香水,https://book.douban.com/subject/1292416/,[德] 帕·聚斯金德 , 上海译文出版社 , 2005-5 , 20.00元,8.5,恋味癖谋杀案
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,[日] 村上春树 , 上海译文出版社 , 2002-12 , 23.00元,8.6,交叉平行蒙太奇
自控力,https://book.douban.com/subject/10786473/,[美]  凯利·麦格尼格尔 , 文化发展出版社(原印刷工业出版社) , 2012-8 , 39.80元,8.3,要么瘦，要么死
人生,https://book.douban.com/subject/3803820/,路遥 , 北京十月文艺出版社 , 2009-5 , 20.00元,8.4,如果你是高加林，你要如何选择？
看不见的城市,https://book.douban.com/subject/1863930/,[意大利]伊塔洛·卡尔维诺 , 译林出版社 , 2006-8 , 16.00元,8.8,每一座城市都只在想象中耸立，又在描述中坍圮
冰与火之歌（卷一）,https://book.douban.com/subject/1336330/,[美] 乔治·R. R. 马丁 , 重庆出版社 , 2005-5 , 68.00元,9.3,凛冬将至。无比宏大的世界观
那些年，我们一起追的女孩,https://book.douban.com/subject/1958227/,九把刀 , 花山文艺出版社 , 2007-1 , 20.00元,8.2,那些年错过的大雨
江城,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒 , 上海译文出版社 , 2012-1 , 36.00元,9.0,外国人的寻路中国
变形记,https://book.douban.com/subject/1213546/,[奥] 卡夫卡 , 浙江文艺出版社 , 2003-4 , 16.00元,8.4,格里高里清早醒来发现自己变成了甲虫
把时间当作朋友,https://book.douban.com/subject/3609132/,李笑来 , 电子工业出版社 , 2009-6 , 32.00元,8.4,反成功学的成功学
阿狸·梦之城堡,https://book.douban.com/subject/3554154/,hans , 上海锦绣文章出版社 , 2009-1 , 36.80元,9.0,治愈
